Id_Complex,Id_Simple
"Pejabat tersebut, yang berbicara dalam kondisi tak bersedia disebut namanya, mengatakan bahwa serangan yang dilancarkan Senin ditujukan kepada tokoh-tokoh kurang dikenal yang punya hubungan dengan Al-Qaeda daripada tokoh-tokoh seniornya pada jaringan di Afrika Timur.","Pejabat, yang berbicara tentang kondisi anonimitas, mengatakan serangan Senin diarahkan pada angka-angka yang kurang dikenal dengan hubungan Al-Qaeda daripada pemimpin senior jaringan di Afrika Timur."
"Ribuan orang Arab Sunni telah berpawai di pusat permukiman Sunni untuk memperlihatkan kemarahan mereka atas hukuman mati Saddam, dan orang yang berduka telah berkumpul di makam Saddam di desa kelahirannya Awja.","Ribuan orang Arab Sunni telah berbaris di jantung Sunni untuk melampiaskan kemarahan pada eksekusi Saddam, dan berkabung telah berkumpul ke makam Saddam di desanya Awja."
"Mamby, kelihatan ramping dan tidak ada tanda-tanda ketuaan pada fisiknya, ketika bertemu dengan lawannya berusia 32 tahun dari Jamaika, Anthony Osbourne, yang rekornya naik menjadi 7-25-1.","Mamby, ramping dan pandai bicara tanpa warna abu-abu yang muncul di rambutnya yang dikepang, mengatakan dia berkarat terhadap orang Jamaika berusia 32 tahun Anthony Osbourne, yang catatan suramnya naik ke 7-25-1."
Sebagian besar kantor dan acara pertemuan seperti rapat dan pembukaan galeri juga mengadakan acara nonton bareng pertandingan final.,"""Kebanyakan kantor dan pertemuan umum, seperti reuni dan pembukaan galeri juga mengadakan pertunjukan langsung dari permainan."""
"Kondisi saat ini kembali mengingatkan bahwa globalisasi, selain membuka peluang-peluang baru bagi pembangunan kita, juga mengandung risiko-risiko yang perlu terus kita waspadai.","Kondisi ini mengingatkan kita bahwa globalisasi, selain membuka kesempatan baru bagi perkembangan kita, juga mendatangkan risiko yang harus diperhatikan."
"Saya tidak terlalu kecewa, tambah petenis jangkung asal Amerika yang memenangi gelar ATP pertamanya pada Las Vegas Terbuka bulan lalu.","Aku tidak terlalu kecewa, menambahkan orang Amerika yang tinggi yang meraih gelar ATP pertamanya di Las Vegas Open bulan lalu."
"Oleh karena itu, supaya terjadi peralihan dari air ke darat, makhluk hidup tanpa ginjal harus mengembangkan sebuah sistem ginjal seluruhnya pada saat yang bersamaan.","Oleh karena itu, agar perjalanan dari air ke tanah telah terjadi, makhluk hidup tanpa ginjal harus mengembangkan sistem ginjal sekaligus."
Ia mendapat kesempatan kedua dari Presiden Giorgio Napolitano setelah ia menghimpun kembali sekutunya yang retak untuk mendukungnya dengan memanfaatkan kekhawatiran mereka bahwa kekalahan akan membersihkan jalan bagi tokoh konservatif Silvio Berlusconi kembali ke tampuk pemerintahan.,Dia mendapat kesempatan kedua dari Presiden Giorgio Napolitano setelah ia rally sekutu fractious di belakangnya bermain pada ketakutan mereka bahwa kekalahan akan membersihkan jalan bagi konservatif Silvio Berlusconi untuk kembali ke kekuasaan.
Pejabat China Telecom yang enggan disebutkan namanya itu menyatakan bahwa perbaikan salah satu sistem kabel laut secepat-cepatnya selesai tanggal 15 Januari 2007.,Petugas telekom Chine yang din?t tidak ingin menyebutkan namanya menyatakan bahwa perbaikan salah satu kabel laut akan selesai segera setelah 15 Januari 2007.
"Jika nilai barang itu diukur dari besarnya tenaga yang telah dikorbankan, maka sesungguhnya telah terjadi surplus nilai tenaga buruh yang telah diambil oleh majikannya.","Jika barang - barang diukur dari bagaimana kuasa besar telah dikorbankan, pada dasarnya nilai kelebihan tenaga kerja yang telah diambil oleh majikan."
"""Di Malaysia, perdana menteri dituduh mengantongi uang dengan jumlah lebih dari 600 juta dolar Amerika dari sebuah transaksi bank yang patut dipertanyakan, yang juga melibatkan perusahaan investasi milik negara.""","""Di Malaysia, perdana menteri dituduh mengantongi lebih dari 600 juta dolar AS dari transaksi bank anomali yang melibatkan perusahaan investasi negara bagian."""
"""Dalam sebuah studi yang diterbitkan pada Desember 2014, Marc Weisskopf, seorang associate professor Epidemiologi Profesi dan Lingkungan dari Harvard T.H. Chan School of Public Health, beserta rekan-rekannya meneliti anak-anak yang ibunya pernah terpapar materi partikulat halus (PM2,5; partikel yang berukuran diameter 2,5 mikron atau lebih kecil) dalam kadar yang tinggi, terutama selama masa kehamilan trimester ketiga.""","""Dalam sebuah penelitian yang diterbitkan pada Desember 2014, Marc Weisskopf, Harvard T.H. Chan School of Public Health associate profesor epidemiologi lingkungan dan pekerjaan, dan rekan-rekan memandang anak-anak yang ibunya terkena tingkat tinggi materi partikulat halus (PM2.5, partikel 2,5 mikron dengan diameter atau lebih kecil), terutama selama masa kehamilan trimester ketiga."""
Indonesia memiliki populasi umat Muslim terbesar dan merupakan negara demokrasi terbesar ketiga di dunia.,Indonesia adalah negara Muslim terbesar di dunia dan demokrasi terbesar ketiga.
Profesor Psikiatri Dr Tom Kosten yang memimpin penelitian ini menyatakan bahwa ini merupakan hasil kerja keras setelah selama satu dekade dia bersama timnya.,"Profesor Psikiatri, Dr. Tom Konsten yang memimpin penelitian ini menyatakan bahwa itu adalah hasil kerja keras selama satu dekade dengan timnya."
"Gbagbo mengumumkan rencananya sendiri pada 19 Desember guna mengakhiri perpecahan di negara penghasil coklat tersebut setelah perang saudara 2002/2003, termasuk pembicaraan langsung dengan pemberontak, dalam apa yang ditafsirkan banyak pihak sebagai penghinaan lebih lanjut terhadap proses dukungan PBB tersebut.","Gbagbo mengumumkan rencananya sendiri pada Dec. 19 untuk mengakhiri partisi negara yang tumbuh cokelat setelah perang sipil 20002/03, termasuk berbicara langsung dengan para pemberontak, dalam apa yang secara luas ditafsirkan sebagai snub lebih lanjut ke U.N.-kembali proses."
"""Laporan tersebut menyatakan bahwa total luas bangunan mencapai 1,470,000 meter persegi, area ekspansi akan mencapai 320,000 meter persegi untuk mengakomodir 300,000 jemaah sedangkan area bangunan beserta halamannya (premises) sebesar 175,000 meter persegi untuk memberikan ruang kepada 280,000 jemaah.""","""Laporan mengatakan total area bangunan berjumlah 1.470,000 meter persegi, area ekspansi akan mencapai 320,00 meter persegi untuk mengakomodasi 300.000 penyembah sementara daerah tempat itu berjumlah 175.000 meter persegi untuk menyediakan ruang bagi 280.000 penyembah."""
"Tetapi kami ingin memperlihatkan kepada Israel bahwa masalah ini takkan hilang begitu saja dan untuk mengingatkan masyarakat internasional mengenai tanggung jawabnya, kata seorang diplomat senior Arab di Wina.","Namun kami ingin menunjukkan kepada Israel bahwa isu ini tidak hanya memudar dan mengingatkan komunitas internasional akan tanggung jawabnya, kata seorang diplomat senior Arab di Wina."
"""Orang-orang Afrika yang aktif di Twitter sepakat untuk menunjukkan keindahan, keragaman, dan arsitektur yang modern dan inovatif di seantero Afrika, hal yang jarang ditampilkan oleh media Barat kepada pemirsanya.""","""Afrika di Twitter telah datang bersama-sama untuk menampilkan keindahan, keragaman dan inovatif arsitektur modern benua yang jarang ditampilkan oleh media Barat."""
"""Informasi mengenai ekspedisi logistik dan pengiriman dana bagi pengungsi dapat dipantau melalui Twitter #Geser #Rokatenda, #1mugberas dan #Kupangbagarak.""","""Information on logistik dan sumbangan bagi pengungsi tersedia dengan menggunakan tagar Twitter #Geser #Rokatenda, #1mugberas dan #Kupangbagarak."""
"""Meskipun semakin banyak perempuan yang sadar akan hak suara mereka dan berpartisipasi dalam level politik lokal, sebuah laporan memberitakan bahwa tahun ini lebih sedikit perempuan yang kecil kemungkinan terpilih sebagai anggota parlemen di negri tersebut.""","""Meskipun semakin banyak wanita yang menyadari hak suara mereka dan berpartisipasi dalam politik tingkat lokal, sebuah laporan menunjukkan bahwa tahun ini lebih sedikit wanita yang mungkin akan terpilih untuk parlemen negara."""
"Sepanjang tahun 1980an CBF mengumpulkan dana untuk mendukung kegiatan CBI, hingga tercipta apa yang ahirnya dikenal sebagai Tomash Fellowship yang telah mendukung pembiayaan riset Ph.D sebanyak hampir 30 cendekiawan muda dan counting","Sepanjang tahun 1980-an CBF mengumpulkan dana untuk mendukung kegiatan CBI?, menciptakan apa yang akhirnya dikenal sebagai Persekutuan Tomash yang telah mendukung penelitian Ph.D. hampir 30 sarjana muda dan menghitung."
"Para pemberontak melakukan serangan massal di seluruh Irak dalam pekan ini, dan peristiwa itu menewaskan lebih dari 400 orang, hanya selama empat hari belakangan saja.","Pemberontak telah melakukan serangan besar-besaran di seluruh Irak minggu ini, membunuh lebih dari 400 orang dalam empat hari terakhir saja."
"Dengan selaput lendir hidungnya yang besar dan melengkung, unta mampu menyerap 66% kelembapan yang ada di udara.","Dengan lendir hidung yang besar dan melengkung, unta dapat menahan 66% uap air di udara."
Ia seorang ibu yang sedang menjalani masa kehamilannya demi Tuhan !!,Dia adalah seorang ibu yang hamil demi Tuhan!!
"Pemimpin Jerman dari kubu konservatif tersebut dan tuan-rumahnya juga direncanakan membahas pasukan 37-negara pimpinan NATO yang memerangi pejuang di Afghanistan, serta perubahan iklim dan masalah energi, demikian keterangan dari kedua pihak.","Pemimpin Jerman konservatif dan tuan rumah nya juga untuk membahas 37 negara pasukan NATO berjuang melawan pemberontak di Afghanistan, serta perubahan iklim dan masalah energi, kata kedua belah pihak."
"Pada Rabu, Valencia memastikan kemenangan tandang 2-1 atas Real Betis, Getafe memukul Levante 3-0 dan Recreativo Huelva menundukkan Villarreal 1-0.","Pada hari Rabu, Valencia dijamin 2-1 jauh menang atas Real Betis, Getafe berdebar Levante 3-0 dan Recreativo Huelva mengalahkan Villarreal 1-0."
"""Untuk membantu Anda menjawab pertanyaan-pertanyaan ini, saya ingin Anda membaca tulisan """"Your White Savior Complex is detrimental to my development"""" (Sindrom Pengagungan Kulit Putihmu Menghambat Perkembanganku) oleh TMS Ruge.""","""Untuk membantu Anda menjawab pertanyaan-pertanyaan ini, saya mendorong Anda untuk melihat posting ""Kompleks White Savior Anda merugikan pengembangan saya"" oleh TRS Ruge."
"Begitu dilepaskan, kelelawar tidak membuang-buang waktu untuk mengangkat lembaran koran tersebut dan memakan ulat-ulat tadi.","Setelah dilepaskan, kelelawar tidak kehilangan waktu untuk mengangkat lembaran surat kabar dan memakan ulat."
"Laba bersih Bank Bumiputera mencapai Rp17,91 miliar pada semester pertama 2007, atau meningkat 316 persen dibandingkan laba bersih pada periode yang sama tahun 2006 yang hanya mencapai Rp4,3 miliar.",Secara pribadi Bank Bumiputra mengatakan pada hari Rabu keuntungan bersih nya pada semester pertama 2007 naik 316 persen ke Rp17.91 miliar dari periode yang sama tahun lalu.
"""Di tengah minimnya ide-ide dari pihak pejabat negara, tokoh-tokoh masyarakat contohnya seorang dosen universitas Nurullah Ardic memberikan suaranya dalam perdebatan.""","""Amid kurangnya ide-ide di bagian negara, tokoh-tokoh publik seperti dosen universitas Nurullah Ardc telah menambahkan suara mereka ke dalam perdebatan."""
Kewarganegaraan setara yang tepat untuk wanita merupakan agenda utama dari semua partai politik besar selama pemilihan Majelis Konstituante.,Kewarganegaraan yang sama bagi wanita adalah agenda penting dari semua partai politik utama selama pemilihan Majelis Konstituen.
Pemerintah dan BI akan tetap memonitor perkembangan dari waktu ke waktu dan berkoordinasi mengambil langkah-langkah yang dianggap perlu untuk meminimalkan kerugian yang dialami industri keuangan maupun perekonomian nasional.,Dia mengatakan pemerintah dan bank sentral akan terus memantau perkembangan dari waktu ke waktu dan koordinat untuk mengambil langkah-langkah yang diperlukan untuk meminimalkan kerugian yang diderita oleh industri keuangan atau ekonomi nasional.
"Gol pada babak pertama yang diciptakan Raul Gonzalez dan Ruud van Nistelrooy membawa pemimpin klasemen Liga Utama Spanyol Real Madrid memetik kemenangan 2-0 pada pertandingan derbi melawan Atletico Madrid, Minggu.",Setengah gol pertama dari Raul Gonzalez dan Ruud van Nistelrooy memberi para pemimpin liga Spanyol Real Madrid kemenangan 2-0 derby di tetangga Atletico Madrid pada hari Minggu.
"""Tidak bisa meninggalkan kota dengan mudah.. jovefrancisco: Sepanjang Sabtu, Aku rasa daerahkulah yang paling rusak parah.""","""Tidak bisa meninggalkan kota yang tepat.. jovefrancisco: untuk sebagian besar hari Sabtu, saya pikir komunitas saya adalah hit paling sulit. """
"""Ide yang tampak sederhana, tapi semangat yang ada dibalik ide tersebut sangat bermakna: """"Kebanyakan generasi kita tidak ingin merasa atau terlihat seperti turis jika sedang bepergian.""","""Sebuah ide konyol, mungkin, tapi dorongan di balik itu adalah: banyak dari generasi saya tidak ingin merasa atau terlihat seperti wisatawan ketika kita bepergian. """
"Meskipun perhatian besar telah diberikan pada resiko yang dihadapi perempuan yang mengalami patah tulang sehubungan dengan usia mereka, studi baru memperlihatkan bahwa segera setelah seseorang yang berusia tua menderita patah tulang, tak ada perbedaan menonjol antara pria dan wanita dalam resiko yang mereka hadapi dalam kasus patah tulang lagi.","Meskipun perhatian yang besar telah diberikan kepada risiko wanita menderita patah tulang seraya mereka bertambah tua, sebuah penelitian baru menunjukkan bahwa sekali orang yang lebih tua telah mengalami patah tulang tidak ada perbedaan yang signifikan antara pria dan wanita dalam risiko mereka mengalami patah tulang lagi."
"""@gr33ndata: Silahkan pilih antara Gaddafi atau kelaparan, kehausan, dan diserang Mesir dan UFO! #Libya #Feb17 http://twitpic.com/420y09""","""@gr33ndata: Entah Gaddafi, atau u'll tidak menemukan makanan, minuman, dan akan diserang oleh Mesir dan Space Ships! #Libya #Feb17 http://twitpic.com/420y09"""
"Para pelaku pasar kini memfokuskan pada pertemuan kebijakan moneter BOJ yang akan berlangsung pada Selasa dan Rabu di tengah perdagangan yang lamban, akibat sejumlah pasar keuangan tutup di AS dan beberapa negara Asia karena libur nasional.","Pedagang difokuskan pada rapat kebijakan moneter BoJ pada hari Selasa dan Rabu di tengah perdagangan tipis, dengan pasar keuangan yang ditutup di Amerika Serikat dan beberapa negara Asia Senin untuk hari libur umum."
"""Andreas Harsono berharap Clinton memperhatikan isu-isu seperti kebebasan beragama, kebebasan berekspresi dan reformasi militerselama kunjungannya:""","""Andreas Harsono ingin Clinton mengangkat isu kebebasan beragama, impunitas, dan reformasi militer selama kunjungannya: """
"""Seorang demonstran memegang tanda 'pembangkangan sipil' di depan satuan polisi anti huru-hara tanggal 27 September 2014 sebagai bagian dari protes Occupy Central diluar markas-markas pemerintah pusat di Admiralty, Hong Kong.""","""Pemrotes memegang tanda 'kepatuhan sipil' di depan barisan polisi kerusuhan pada tanggal 27 September 2014 sebagai bagian dari protes Occupy Central di luar kantor pusat pemerintah di Admiralty, Hong Kong."""
Ledakan yang dihasilkan menyebabkan kehancuran dan kerusakan terhadap benda mati dan benda hidup disekitarnya diakibatkan oleh pergerakan tekanan udara dan pergerakan fragmen-fragmen yang terdapat di dalam bom.,Ledakan yang dihasilkan menyebabkan kehancuran dan kerusakan terhadap sekitar makhluk hidup dan tidak hidup karena pergerakan tekanan udara dan pecahan-pecahan dalam bom.
"Jika mereka bermaksud mencari keuntungan-keuntungan dengan cara itu, termasuk mengancam sebanyak satu juta ton minyak berat, mereka bisa saja lakukan.","Jika mereka akan mendapatkan keuntungan di jalan termasuk pada akhirnya sebanyak satu juta ton minyak berat, mereka harus melakukan."
"""Jaringan tersebut memiliki lebih dari empat juta pengguna di seluruh dunia (per November 2013), termasuk banyak aktivis teknologi di negara-negara yang umum memberlakukan penyensoran dan pengawasan Internet.""","""Jaringan itu memiliki lebih dari 4 juta pengguna di seluruh dunia (pada November 2013), termasuk banyak aktivis teknologi di negara-negara yang penyensoran dan pengawasan secara online merupakan hal yang umum."""
Perjalanan ini menandai masa lima tahun setelah penyerbuan Israel terhadap Kapal MV Mavi Marmara yang mengakibatkan sembilan aktivis tewas dan 10 tentara Israel terluka.,Perjalanan ini menandai ulang tahun kelima serangan Israel atas Marmara MV Mavi di mana sembilan aktivis tewas dan 10 tentara Israel terluka.
"""Dengan pemilihan umum baru-baru ini terlaksana dan DPJ yang baru terpilih, ada harapan bahwa kebijakan tentang HIV/AIDS akan lebih dipertimbangkan dengan serius, meskipun tidak ada pihak-pihak yang bersaing membahas persoalan itu dalam manifesto mereka.""","""Dengan pemilihan umum baru-baru ini dan DPJ terpilih baru, ada harapan bahwa kebijakan pada isu HIV/AIDS akan dianggap lebih serius meskipun tidak satupun partai yang bersaing mengatasi masalah dalam manifesto mereka. """
Prajurit itu tewas akibat luka-luka yang dideritanya dalam ledakan selama operasi tempur pada Kamis.,Prajurit itu meninggal karena cedera yang diderita dalam ledakan selama operasi tempur pada hari Kamis.
"""Crossroads Arabia mengatakan kasus ini menunjukan betapa perlunya menyesuaikan hukum Saudi, yang berintisarikan pada hukum Syariah Islam (hukum agama), kehendak bebeas dan interpretasi masing-masing hakim.""","""Crossroads Arabia mengatakan kasus ini mendorong pulang kebutuhan untuk mengkode hukum Saudi, yang sekarang didasarkan pada Islam Syariah (hukum agama) dan kebijaksanaan dan interpretasi hakim individu. """
"Haniyeh, dengan kelompok garis keras Hamas, mengatakan bahwa setelah pertemuan pertamanya dengan Abbas dua bulan lalu dimana mereka sepakat untuk menarik seluruh orang-orang bersenjata dari jalanan dan menempatkan polisi untuk menegakkan hukum dan peraturan, menurut laporan harian Ha'aretz.","Haniyeh, dengan Hamas radikal, mengatakan setelah pertemuan pertamanya dengan Abbas dalam dua bulan bahwa mereka telah setuju untuk menarik semua orang bersenjata dari jalanan dan mengerahkan pasukan polisi untuk menjaga hukum dan ketertiban, surat kabar Ha'aretz melaporkan."
"Petenis Rusia tersebut, yang hanya memenangi sembilan dari 35 poin pada set terakhir di mana Williams hanya melakukan satu kesalahan sendiri, kalah dari petenis Amerika itu untuk kelima kalinya dalam tujuh pertandingan sepanjang karir.","Rusia, yang hanya memenangkan sembilan dari 35 poin dalam set akhir selama yang Williams hanya membuat satu kesalahan yang tidak dipaksakan, kalah untuk Amerika untuk kelima kalinya dalam tujuh pertandingan karir."
"""Di sisi lain, 350 perempuan membuat grup Facebook “Kematian untuk Para Pria” (""""SmRt MuSkArCimA""""), menyebarluaskan penganiayaan “gender yang lebih kuat.”""","""Di sisi lain, 350 anggota perempuan telah mendirikan grup Facebook åDeath to Men (""SmRt MuSkArCimA""), menyebarkan perlakuan kasar terhadap seks yang lebih kuat."
"""Virus kini semakin mendekati Jamaika, dan telah terdeteksi di Haiti.""",Virus itu terus bergerak lebih dekat ke Jamaika yang telah terdeteksi di Haiti.
"Kematian Kamis itu membuat jumlah korban tewas sejak awal pemberontakan kedua Palestina pada September 2000 menjadi 5.623 orang, sebagian besar di antaranya orang Palestina, kata hitungan AFP.","Kematian Kamis membawa 5.623 jumlah orang yang tewas sejak awal pemberontakan Palestina kedua pada bulan September 2000, sebagian besar dari mereka orang Palestina, menurut hitungan AFP."
"Selama kunjungan ke gedung Geo, Menteri Penerangan Mohammed Ali Durrani kemudian mengecam tindakan polisi itu dan mengatakan, televisi tersebut tidak seharusnya dilarang meliput peristiwa itu.","Selama kunjungan ke gedung Geo, Menteri Informasi Mohammed Ali Durrani kemudian mengutuk tindakan polisi dan mengatakan saluran tidak harus dicegah dari menutupi peristiwa."
Nadal kemudian memenangi tiebreak dengan skor 7-1 pada set penentuan sekaligus mengakhiri pertandingan yang berlangsung hampir empat jam itu.,Dia akhirnya meraih final tiebreak 7-1 untuk mengakhiri kontes maraton berlangsung hampir empat jam.
"Kedua, kebanyakan mutasi adalah berbahaya karena terjadi secara acak, bukan secara teratur merubah struktur gen; setiap perubahan acak dalam suatu sistem yang sangat tertata rapi hanya akan memperburuk, bukan memperbaiki.","Kedua, kebanyakan mutasi berbahaya karena secara acak, bukannya secara teratur berubah dalam struktur gen; setiap perubahan acak dalam sistem yang diatur tinggi akan menjadi lebih buruk, bukan untuk yang lebih baik."
Ada perbedaan antara bedah kosmetik untuk memperbaiki kerusakan akibat kecelakaan dan untuk mempercantik rupa.,Ada perbedaan antara operasi setelah kecelakaan untuk memperbaiki kerusakan kosmetik dan ini.
Sistem ini juga menyediakan fasilitas Bukti Setor Zakat yang dapat dimanfaatkan pembayar ZIS sebagai bukti pendukung fasilitas pengurangan pajak yang bersangkutan.,Sistem ini juga menyediakan Bukti Zakat Surat Pembayaran yang dapat digunakan oleh para pembayar ZIS sebagai bukti pendukung fasilitas pengurangan pajak dari para pembayaran ZIS.
Rusia: Diskusi Daring Mengenai Perayaan 20 Tahun Runtuhnya Tembok Berlin,Rusia: Diskusi Narablog 20 Tahun Kejatuhan Tembok Berlin
Baru-baru ini sebuah laptop juga dilaporkan meledak dan terbakar di Korea Selatan.,Baru-baru ini laptop juga dilaporkan meledak dan dibakar di Korea Selatan.
Bagaimana pergantian alfabet dapat menyelesaikan masalah pada sistem pendidikan kita?,Bagaimana mengubah alfabet dapat memecahkan masalah dalam sistem pendidikan kita?
Wapres juga akan mneghadiri konferensi internasional yang diselenggarakan oleh lembaga pers terkemuka Jepang Nikkei.,"Jusuf Kalla juga akan menghadiri konferensi internasional yang diselenggarakan oleh Nikkei, lembaga pers Jepang yang terkenal."
"""""""Penerbitan nama tanpa distingsi atau bantahan benar-benar tidak bertanggung jawab,"""" twitnya.""","""Membentangkan nama tanpa perbedaan atau penyangkalan sama sekali tidak bertanggung jawab, dia men-tweet."""
"Namun demikian, seluruh mata tertuju pada pertandingan pertama hari tersebut yang menampilkan pemegang gelar Mesir dan saingan berat Kamerun, yang sudah memenangi gelar tersebut empat kali.","Akan tetapi, semua mata tertuju pada pertandingan pertama kala itu yang menampilkan pemegang gelar Mesir dan para penantang yang serius Kamerun, yang telah memenangkan gelar itu empat kali."
